"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C51_5","SMD_0805_CAPC2012X145N","-6.25mm","53.025mm","-6.25mm","53.025mm","-6.25mm","52.125mm","T","90.00","22uF/6.3V"
"C82_2","SMD_0805_CAPC2012X145N","-21.925mm","-13.9mm","-21.925mm","-13.9mm","-21.025mm","-13.9mm","T","180.00","22uF/6.3V"
"C53_5","SMD_0805_CAPC2012X145N","-2.25mm","53.025mm","-2.25mm","53.025mm","-2.25mm","52.125mm","T","90.00","22uF/6.3V"
"C54_6","SMD_0805_CAPC2012X145N","-4.25mm","73mm","-4.25mm","73mm","-4.25mm","72.1mm","T","90.00","22uF/6.3V"
"C47_6","SMD_0805_CAPC2012X145N","-21.9285mm","74.0998mm","-21.9285mm","74.0998mm","-21.0285mm","74.0998mm","T","180.00","22uF/6.3V"
"C46_6","SMD_0805_CAPC2012X145N","-21.9284mm","72.0998mm","-21.9284mm","72.0998mm","-21.0284mm","72.0998mm","T","180.00","22uF/6.3V"
"C52_5","SMD_0805_CAPC2012X145N","-4.25mm","53.025mm","-4.25mm","53.025mm","-4.25mm","52.125mm","T","90.00","22uF/6.3V"
"C48_5","SMD_0805_CAPC2012X145N","-12.25mm","53.025mm","-12.25mm","53.025mm","-12.25mm","52.125mm","T","90.00","22uF/6.3V"
"C45_6","SMD_0805_CAPC2012X145N","-21.9285mm","70.0998mm","-21.9285mm","70.0998mm","-21.0285mm","70.0998mm","T","180.00","22uF/6.3V"
"C40_6","SMD_0805_CAPC2012X145N","-21.9285mm","64.0998mm","-21.9285mm","64.0998mm","-21.0285mm","64.0998mm","T","180.00","22uF/6.3V"
"C10-6","SMD_0805_CAPC2012X145N","-32.75mm","69mm","-32.75mm","69mm","-33.65mm","69mm","T","360.00","10uF/16V"
"C16-5","SMD_0805_CAPC2012X145N","-32.75mm","49mm","-32.75mm","49mm","-33.65mm","49mm","T","360.00","10uF/16V"
